Comunidad;Provincia;Distrito Notarial;Localidad / Plaza;Clase;Notas;Anterior Notario
Galicia;Lugo;;Quiroga;Resulta;Nº127;John Pérez Sánchez
Galicia;A Coruña;;Muxía;Resulta;Nº129;Andrés García-Bengochea Hernández
Castilla-La Mancha;Ciudad Real;;Argamasilla de Alba;Resulta;Nº130;Natalia García-Lozano Olmedo
Castilla-La Mancha;Guadalajara;;Cifuentes;Resulta;Nº131;Manuel Tejuca González
Castilla y León;León;;Villablino;Resulta;Nº135;Manuel Barrera Sierra
Principado de Asturias;Asturias;;Colunga;Resulta;Concurso autonómico;Ignacio García Viciana
Cataluña;Girona;;Amer;Resulta;Concurso autonómico;Carola Irene Sevilla Pitarch
Principado de Asturias;Asturias;;Vegadeo;Resulta;Concurso autonómico;Coral González García
Cataluña;Barcelona;;Santa Margarida de Montbui;Resulta;Concurso autonómico;Luis Felipe Álvarez de Sotomayor Rodríguez
Cataluña;Barcelona;;Calella;Resulta;Concurso autonómico;Mónica de Blas Esteban
Cataluña;Barcelona;;Calella;Resulta;Concurso autonómico;José Luis Ballestín González
Cataluña;Barcelona;;Montmeló;Resulta;Concurso autonómico;Hans-Alexander Braunschweig Leotte
Cataluña;Barcelona;;Prats de Lluçanès;Resulta;Concurso autonómico;Lluis Colomé Serra
Cataluña;Girona;;Arbúcies;Resulta;Concurso autonómico;Marta Alcover Delgado
Cataluña;Barcelona;;Calaf;Resulta;Concurso autonómico;Blanca Camacho López-Barajas
Cataluña;Barcelona;;Sant Vicenç dels Horts;Resulta;Concurso autonómico;María del Carmen Parra Martínez
Castilla y León;Soria;;Berlanga de Duero;Resulta;Concurso autonómico;Cristina Rocío Lleonart Castro
Cataluña;Girona;;La Bisbal d'Empordà;Resulta;Concurso autonómico;Marco Ciani García
La Rioja;La Rioja;;Cervera del Río Alhama;Resulta;Concurso autonómico;Carmen Estevan Cuenca
Cataluña;Lleida;;Almenar;Resulta;Concurso autonómico;Clara Castillón Porqueras
Castilla-La Mancha;Cuenca;;Priego;Resulta;Concurso autonómico;Paloma Gemma Benito Orduña
Cataluña;Barcelona;;Sant Adrià de Besòs;Resulta;Concurso autonómico;Victor Mateu Prades
Cataluña;Tarragona;;Móra la Nova;Resulta;Concurso autonómico;María Cotillas Funes
Cataluña;Lleida;;Ponts;Resulta;Concurso autonómico;Jorge Fort Canals
Illes Balears;Illes Balears;;Esporles;Resulta;Concurso autonómico;Pedro José López-Amo Saus
Cataluña;Tarragona;;L'Espluga de Francolí;Resulta;Concurso autonómico;Alexandre Lafarga Mas
Comunitat Valenciana;Castelló/Castellón;;Lucena del Cid;Resulta;Concurso autonómico;Claudia Navarro Pascual
Castilla y León;Burgos;;Valle de Mena;Resulta;Concurso autonómico;Macarena Placed Lerma
Andalucía;Córdoba;;Espiel;Resulta;Concurso autonómico;Laura Trescolí Valls
Cataluña;Tarragona;;L'Arboç;Resulta;Concurso autonómico;Laura Blázquez Blázquez
Andalucía;Jaén;;Jaén (Don Alfonso Argüelles Luis);Jubilación;Vacante;Alfonso Argüelles Luis
Andalucía;Málaga;;Marbella (Don Miguel Ángel de la Fuente del Real);Jubilación;Vacante;Miguel Ángel de la Fuente del Real
Castilla-La Mancha;Guadalajara;;Azuqueca de Henares (Doña Macrina García Moreno);Jubilación voluntaria;Vacante;Macrina García Moreno
Comunidad de Madrid;Madrid;;Humanes de Madrid (Don Miguel Enrique Estella Garbayo);Jubilación;Vacante;Miguel Enrique Estella Garbayo
Comunidad de Madrid;Madrid;;Madrid (Don Ricardo Isaías Pérez Ballarín);Jubilación;Vacante;Ricardo Isaías Pérez Ballarín
Galicia;A Coruña;;A Coruña (Don José Manuel Lois Puente);Jubilación;Vacante;José Manuel Lois Puente
Región de Murcia;Murcia;;San Javier (Don Pedro Facundo Garré Navarro);Jubilación;Vacante;Pedro Facundo Garré Navarro
Comunitat Valenciana;València/Valencia;;Valencia (Don Alfonso Pascual de Miguel);Jubilación;Vacante;Alfonso Pascual de Miguel
Comunitat Valenciana;Alicante/Alacant;;Torrevieja (Don José Julio Barrenechea García);Jubilación;Vacante;José Julio Barrenechea García
Principado de Asturias;Asturias;;Oviedo (Don Juan Antonio Escudero García);Jubilación;Vacante;Juan Antonio Escudero García
Comunidad de Madrid;Madrid;;Madrid (Don Juan Manuel Lozano Carreras);Jubilación;Vacante;Juan Manuel Lozano Carreras
Cataluña;Barcelona;;Sant Cugat del Vallès (Don Luis Fort López-Barajas);Jubilación;Vacante;Luis Fort López-Barajas
